-7516.636011047774,0,35,3
-5770.37518037518,1,70,3
9223.566433566435,2,96,4
-8570.063923005098,3,146,3
-14072.701292515541,4,270,3
-5599.345458463106,5,295,3
-7087.730738352374,6,350,3
11624.498695748694,7,441,5
-5765.531139612021,8,475,3
8720.76146076146,9,515,4
-24507.412515245334,10,680,3
-6031.969304560249,11,716,3
-24272.881444436876,12,882,3
-5626.715098738923,13,918,3
-18657.132855534554,14,1084,3
-6217.710646551591,15,1120,3
-18311.15132760631,16,1286,3
-5298.810648201129,17,1322,3
-8245.114688373205,18,1488,4
-5985.04803117419,19,1524,3
-23010.090993385093,20,1690,3
-7026.850649350649,21,1726,3
-22081.513866867044,22,1892,3
-7300.039682539683,23,1928,3
1151.72979175108,24,2094,5
-5605.281156751745,25,2130,3
-17543.09038184038,26,2296,4
-9407.059329559332,27,2332,3
-11571.407876375657,28,2498,4
-7315.70297349709,29,2534,3
-21727.53529636184,30,2700,3
-5815.6971296677175,31,2736,3
5854.213629507747,32,2891,5
-3249.70473970474,33,2914,3
-4774.9956334515155,34,2939,3
-26829.193695656904,35,3104,3
-6527.773060273062,36,3140,3
9397.947330447329,37,3246,5
14363.387445887447,38,3286,5
-4868.183112037602,39,3306,3
-6145.124250749252,40,3342,3
-6733.734949690832,41,3508,4
-7527.196969696969,42,3544,3
-24650.26290294673,43,3710,3
-5256.200133046983,44,3746,3
-22610.06889486204,45,3912,3
-5483.2920837332595,46,3948,3
13190.535714285717,47,4026,5
-6964.761416988586,48,4071,3
-6715.238095238095,49,4110,3
-4407.525252525253,50,4136,3
9813.067765567766,51,4163,4
-11980.596949490136,52,4237,3
-4021.3255172330246,53,4255,3
-8404.478462713758,54,4301,3
-6413.190975690976,55,4340,3
-5909.129008246655,56,4368,3
-5191.303141303141,57,4384,3
-13729.870799135506,58,4484,3
-5074.145256188599,59,4516,3
-4433.2037750691,60,4552,3
-8981.48995453478,61,4607,3
-6168.154734842042,62,4646,3
-7313.806888145207,63,4718,3
-4323.945858707855,64,4745,3
-9009.370629370625,65,4796,3
-6147.245532245531,66,4831,3
-21102.877400377416,67,4974,3
-7484.836621711621,68,5035,3
-1101.8409368409382,69,5128,4
-4654.9751861933855,70,5169,3
-9695.04641170663,71,5262,3
-10618.995027160661,72,5353,3
-7448.157536907539,73,5393,3
14314.960733710734,74,5422,5
-14164.923462974933,75,5520,3
-4443.5980827737785,76,5540,3
-5817.099567099567,77,5587,3
-6715.45469623256,78,5627,3
-9438.857808857809,79,5677,3
-5563.691516816517,80,5704,3
-10594.862021363573,81,5787,3
-20402.00308568056,82,5916,3
-10586.121933621933,83,5998,3
-7128.166127817832,84,6050,3
-7512.934981684981,85,6097,3
-5067.209247795548,86,6124,3
-4464.480467943686,87,6149,3
6521.906512605042,88,6184,4
-5070.158621048713,89,6213,3
-7963.2450882450885,90,6259,3
-8075.7287157287155,91,6300,3
