-4305.1434676434665,0,40,3
7964.32089968855,1,71,4
-10013.182344616167,2,141,3
-3200.5233247145047,3,232,4
10437.373737373739,4,260,4
-7604.501283030696,5,315,3
-8256.66147521882,6,380,3
-5098.871017613277,7,419,3
-4223.463203463203,8,439,3
-6083.468614718617,9,467,3
-6660.687645687645,10,504,3
-13538.23676323676,11,593,3
-11621.32756132756,12,661,3
-7376.961233211232,13,700,3
-4804.515484515484,14,720,3
-4131.253121878122,15,748,3
-5853.016043983535,16,785,3
-9496.250088752278,17,874,3
-11459.240620490622,18,942,3
-9933.75,19,981,3
-4657.671189105013,20,1001,3
-6797.619047619049,21,1029,3
-5662.325521700522,22,1066,3
-4840.191197691198,23,1155,4
-12505.723443223438,24,1223,3
-7346.498305615953,25,1262,3
-3764.2944555444556,26,1282,3
-4619.134660227674,27,1310,3
5777.542616697031,28,1347,4
-9089.103891184424,29,1436,3
-384.8556998556991,30,1504,4
-8208.005328005329,31,1543,3
-4267.809142303606,32,1563,3
-6490.235042735042,33,1591,3
-7444.0345071595075,34,1628,3
-9496.250088752278,35,1717,3
-8110.76032412533,36,1785,3
-5973.523143523144,37,1824,3
-3588.9685314685316,38,1844,3
-5152.561327561327,39,1872,3
-5578.441558441559,40,1909,3
-10526.720624147096,41,1998,3
4354.769728035979,42,2066,4
-8548.337773337771,43,2105,3
-4076.9642857142853,44,2125,3
-2783.8283938283944,45,2153,3
-4867.602660282614,46,2190,3
-9823.82801215812,47,2279,3
-10865.39461054941,48,2347,3
-7542.272727272726,49,2386,3
-3285.714285714286,50,2406,3
8089.2065487869095,51,2434,4
-7780.234765234765,52,2471,3
-9977.77093365497,53,2560,3
-9698.28247947443,54,2628,3
-7783.446969696969,55,2667,3
-4631.785714285715,56,2687,3
-5917.06148018648,57,2715,3
-4804.96114996115,58,2752,3
-9977.77093365497,59,2841,3
-9634.809438927088,60,2909,3
-6882.773892773892,61,2948,3
-3863.095238095238,62,2968,3
-5777.283549783549,63,2996,3
-6152.507215007216,64,3033,3
-10370.992923485184,65,3122,3
-8498.215607417216,66,3190,3
-8259.246031746032,67,3229,3
-4563.565552094964,68,3249,3
-5647.321428571428,69,3277,3
-6666.901827747415,70,3314,3
-9648.75990743974,71,3403,3
-12505.723443223438,72,3471,3
-6383.318763280064,73,3510,3
-4930.84625384935,74,3530,3
-5754.56148018648,75,3558,3
-8357.5,76,3595,3
-8900.193042485327,77,3684,3
-8498.215607417216,78,3752,3
-7453.327922077922,79,3791,3
-3333.20165945166,80,3811,3
-4842.528033541966,81,3839,3
