-1427,0,43,3
-3813,1,215,4
-1205,2,283,4
536,3,306,5
-2964,4,427,3
-2179,5,471,3
-2011,6,511,3
-1209,7,579,4
-2116,8,620,3
-518,9,642,4
-1651,10,673,3
-3634,11,761,3
-4630,12,946,4
-1387,13,973,3
-4070,14,1123,3
-2977,15,1218,3
-1723,16,1269,3
-1057,17,1289,3
-1391,18,1312,3
-1826,19,1357,3
-1200,20,1391,3
-1781,21,1427,3
-1980,22,1464,3
-3331,23,1572,3
-5030,24,1758,3
-1815,25,1802,3
-481,26,1851,4
-2378,27,1917,3
-2086,28,2023,5
-2746,29,2093,3
658,30,2131,5
-1625,31,2162,3
-4422,32,2372,4
-1273,33,2392,3
-1680,34,2446,3
-1036,35,2480,3
-1252,36,2510,3
-1065,37,2569,4
-1822,38,2626,3
-1648,39,2664,3
-1459,40,2696,3
-1526,41,2729,3
-1931,42,2769,3
-1164,43,2806,3
-1949,44,2846,3
-2423,45,2909,3
-2514,46,3006,3
-2403,47,3055,3
-1829,48,3106,3
-892,49,3164,4
-2540,50,3215,3
-2274,51,3265,3
-4556,52,3422,3
-1103,53,3449,3
-977,54,3469,3
-1137,55,3485,3
-1573,56,3556,3
-3602,57,3700,4
-2818,58,3769,3
-1509,59,3805,3
-552,60,3823,3
-2826,61,3953,3
-1248,62,3979,3
-1954,63,4024,3
-686,64,4090,4
-1537,65,4126,3
-1505,66,4178,3
